bank_transaction_id,entity_code,bank_account_code,transaction_date,currency,amount,description,source,match_status,matched_payment_id
BANK-0001,NHH-UK,NHH-UK-OPS,2026-06-27,GBP,6158.8,CARD SETTLEMENT,bank_csv,matched,PAY-0001
BANK-0002,NHH-UK,NHH-UK-OPS,2026-08-02,GBP,3868.37,DIRECT DEBIT,bank_csv,matched,PAY-0002
BANK-0003,NHH-UK,NHH-UK-OPS,2026-07-17,GBP,4990.87,WIRE TRANSFER,bank_csv,matched,PAY-0003
BANK-0004,NHH-UK,NHH-UK-OPS,2026-07-02,GBP,38778.66,WIRE TRANSFER,bank_csv,matched,PAY-0004
BANK-0005,NSS-UK,NSS-UK-OPS,2026-07-04,GBP,11008.8,WIRE TRANSFER,bank_csv,matched,PAY-0005
BANK-0006,NHH-UK,NHH-UK-OPS,2026-07-27,GBP,29865.52,CARD SETTLEMENT,bank_csv,matched,PAY-0006
BANK-0007,NSS-UK,NSS-UK-OPS,2026-06-21,GBP,9026.31,STANDING ORDER,bank_csv,unmatched,
BANK-0008,NSS-UK,NSS-UK-OPS,2026-07-18,GBP,29519.99,CHEQUE DEPOSIT,bank_csv,unmatched,
BANK-0009,NSS-UK,NSS-UK-OPS,2026-07-31,GBP,35037.48,CARD SETTLEMENT,bank_csv,matched,PAY-0009
BANK-0010,NSS-UK,NSS-UK-OPS,2026-07-14,GBP,41264.85,FASTER PAYMENT RECEIVED,bank_csv,matched,PAY-0010
BANK-0011,NSS-UK,NSS-UK-OPS,2026-07-14,GBP,3288.83,WIRE TRANSFER,bank_csv,matched,PAY-0011
BANK-0012,NSS-UK,NSS-UK-OPS,2026-07-08,GBP,3263.49,STANDING ORDER,bank_csv,matched,PAY-0012
BANK-0013,NHS-US,NHS-US-OPS,2026-07-25,USD,4882.9,WIRE TRANSFER,bank_csv,matched,PAY-0013
BANK-0014,NHH-UK,NHH-UK-OPS,2026-07-02,GBP,2045.79,CARD SETTLEMENT,bank_csv,matched,PAY-0014
BANK-0015,NSS-UK,NSS-UK-OPS,2026-06-30,GBP,3129.26,STANDING ORDER,bank_csv,unmatched,
BANK-0016,NHH-UK,NHH-UK-OPS,2026-07-20,GBP,1507.44,BACS PAYMENT,bank_csv,matched,PAY-0016
