intercompany_transaction_id,entity_from_code,entity_to_code,transaction_date,currency,amount,reference,source,match_status,related_journal_entry_id
IC-0001,NHH-UK,NSS-UK,2026-06-03,GBP,29078.0,IC-202606-8450,intercompany_spreadsheet,matched,
IC-0002,NSS-UK,NHH-UK,2026-06-05,GBP,29078.0,IC-202606-8450,intercompany_spreadsheet,matched,
IC-0003,NSS-UK,NHS-US,2026-06-02,GBP,18317.23,IC-202606-1349,intercompany_spreadsheet,unmatched,
IC-0004,NHH-UK,NSS-UK,2026-06-03,GBP,29675.81,IC-202606-4362,intercompany_spreadsheet,unmatched,
IC-0005,NSS-UK,NHH-UK,2026-06-27,GBP,7007.56,IC-202606-4538,intercompany_spreadsheet,unmatched,
IC-0006,NHS-US,NHH-UK,2026-06-09,USD,23456.69,IC-202606-1046,intercompany_spreadsheet,unmatched,
IC-0007,NHH-UK,NSS-UK,2026-06-09,GBP,29638.29,IC-202606-9850,intercompany_spreadsheet,unmatched,
IC-0008,NHH-UK,NHS-US,2026-06-05,GBP,20170.67,IC-202606-1422,intercompany_spreadsheet,matched,
IC-0009,NHS-US,NHH-UK,2026-06-05,GBP,20170.67,IC-202606-1422,intercompany_spreadsheet,matched,
IC-0010,NSS-UK,NHH-UK,2026-06-09,GBP,10389.37,IC-202606-3854,intercompany_spreadsheet,matched,
IC-0011,NHH-UK,NSS-UK,2026-06-11,GBP,10389.37,IC-202606-3854,intercompany_spreadsheet,matched,
IC-0012,NHS-US,NSS-UK,2026-06-16,USD,16256.48,IC-202606-2041,intercompany_spreadsheet,matched,
IC-0013,NSS-UK,NHS-US,2026-06-17,USD,16256.48,IC-202606-2041,intercompany_spreadsheet,matched,
IC-0014,NSS-UK,NHH-UK,2026-06-17,GBP,18216.31,IC-202606-8405,intercompany_spreadsheet,matched,
IC-0015,NHH-UK,NSS-UK,2026-06-19,GBP,18216.31,IC-202606-8405,intercompany_spreadsheet,matched,
IC-0016,NHH-UK,NHS-US,2026-07-10,GBP,22090.05,IC-202607-9543,intercompany_spreadsheet,matched,
IC-0017,NHS-US,NHH-UK,2026-07-10,GBP,22090.05,IC-202607-9543,intercompany_spreadsheet,matched,
IC-0018,NHH-UK,NHS-US,2026-07-14,GBP,29959.02,IC-202607-7580,intercompany_spreadsheet,matched,
IC-0019,NHS-US,NHH-UK,2026-07-15,GBP,29959.02,IC-202607-7580,intercompany_spreadsheet,matched,
IC-0020,NSS-UK,NHS-US,2026-07-29,GBP,27381.32,IC-202607-2204,intercompany_spreadsheet,matched,
IC-0021,NHS-US,NSS-UK,2026-07-31,GBP,27381.32,IC-202607-2204,intercompany_spreadsheet,matched,
IC-0022,NHH-UK,NSS-UK,2026-07-20,GBP,2904.78,IC-202607-5505,intercompany_spreadsheet,matched,
IC-0023,NSS-UK,NHH-UK,2026-07-22,GBP,2904.78,IC-202607-5505,intercompany_spreadsheet,matched,
IC-0024,NSS-UK,NHS-US,2026-07-10,GBP,10430.38,IC-202607-9692,intercompany_spreadsheet,matched,
IC-0025,NHS-US,NSS-UK,2026-07-12,GBP,10430.38,IC-202607-9692,intercompany_spreadsheet,matched,
IC-0026,NHS-US,NSS-UK,2026-07-28,USD,3876.18,IC-202607-2874,intercompany_spreadsheet,matched,
IC-0027,NSS-UK,NHS-US,2026-07-30,USD,3876.18,IC-202607-2874,intercompany_spreadsheet,matched,
IC-0028,NSS-UK,NHS-US,2026-07-15,GBP,26099.28,IC-202607-8046,intercompany_spreadsheet,unmatched,
IC-0029,NHS-US,NSS-UK,2026-07-13,USD,10829.02,IC-202607-8430,intercompany_spreadsheet,matched,
IC-0030,NSS-UK,NHS-US,2026-07-13,USD,10829.02,IC-202607-8430,intercompany_spreadsheet,matched,
IC-0031,NHS-US,NHH-UK,2026-07-12,USD,13376.16,IC-202607-5176,intercompany_spreadsheet,unmatched,
IC-0032,NSS-UK,NHS-US,2026-07-03,GBP,27766.57,IC-202607-2099,intercompany_spreadsheet,unmatched,
IC-0033,NHH-UK,NHS-US,2026-08-26,GBP,13524.42,IC-202608-7105,intercompany_spreadsheet,matched,
IC-0034,NHS-US,NHH-UK,2026-08-26,GBP,13524.42,IC-202608-7105,intercompany_spreadsheet,matched,
IC-0035,NSS-UK,NHH-UK,2026-08-22,GBP,28742.11,IC-202608-6400,intercompany_spreadsheet,matched,
IC-0036,NHH-UK,NSS-UK,2026-08-23,GBP,28742.11,IC-202608-6400,intercompany_spreadsheet,matched,
IC-0037,NSS-UK,NHS-US,2026-08-28,GBP,28292.77,IC-202608-7929,intercompany_spreadsheet,unmatched,
IC-0038,NHH-UK,NHS-US,2026-08-12,GBP,29083.56,IC-202608-6119,intercompany_spreadsheet,matched,
IC-0039,NHS-US,NHH-UK,2026-08-14,GBP,29083.56,IC-202608-6119,intercompany_spreadsheet,matched,
IC-0040,NHH-UK,NSS-UK,2026-08-08,GBP,5487.18,IC-202608-8900,intercompany_spreadsheet,unmatched,
IC-0041,NHS-US,NHH-UK,2026-08-04,USD,25515.83,IC-202608-7022,intercompany_spreadsheet,unmatched,
IC-0042,NSS-UK,NHH-UK,2026-08-28,GBP,7558.61,IC-202608-8030,intercompany_spreadsheet,matched,
IC-0043,NHH-UK,NSS-UK,2026-08-30,GBP,7558.61,IC-202608-8030,intercompany_spreadsheet,matched,
IC-0044,NSS-UK,NHH-UK,2026-08-20,GBP,20574.32,IC-202608-1430,intercompany_spreadsheet,unmatched,
IC-0045,NSS-UK,NHS-US,2026-08-09,GBP,8755.98,IC-202608-3955,intercompany_spreadsheet,matched,
IC-0046,NHS-US,NSS-UK,2026-08-10,GBP,8755.98,IC-202608-3955,intercompany_spreadsheet,matched,
IC-0047,NHS-US,NHH-UK,2026-08-28,USD,11179.68,IC-202608-3972,intercompany_spreadsheet,matched,
IC-0048,NHH-UK,NHS-US,2026-08-30,USD,11179.68,IC-202608-3972,intercompany_spreadsheet,matched,
