invoice_id,invoice_type,invoice_number,entity_code,customer_code,vendor_code,vendor_name_raw,invoice_date,due_date,currency,amount,source,account_code,status,period
INV-0001,AR,NSS-UK-AR-202606-C0001,NSS-UK,C0001,,,2026-06-05,2026-07-05,GBP,11258.49,billing_api,4020,open,2026-06
INV-0002,AR,NHH-UK-AR-202606-C0002,NHH-UK,C0002,,,2026-06-13,2026-07-13,GBP,6158.8,billing_api,4020,open,2026-06
INV-0003,AR,NHH-UK-AR-202606-C0003,NHH-UK,C0003,,,2026-06-26,2026-07-26,GBP,3868.37,billing_api,4030,open,2026-06
INV-0004,AR,NSS-UK-AR-202606-C0004,,C0004,,,2026-06-30,2026-07-30,GBP,18276.98,billing_api,4020,open,2026-06
INV-0005,AR,NHS-US-AR-202606-C0005,NHS-US,C0005,,,2026-06-20,2026-07-20,USD,40074.43,billing_api,4020,open,2026-06
INV-0006,AR,NHH-UK-AR-202606-C0006,NHH-UK,C0006,,,2026-06-23,2026-07-23,GBP,4990.87,billing_api,4010,open,2026-06
INV-0007,AR,NHH-UK-AR-202606-C0007,NHH-UK,C0007,,,2026-06-03,2026-07-03,GBP,38778.66,billing_api,4000,open,2026-06
INV-0008,AR,NHH-UK-AR-202606-C0008,NHH-UK,C0008,,,2026-06-15,2026-07-15,GBP,29334.43,billing_api,4020,open,2026-06
INV-0009,AR,NSS-UK-AR-202606-C0009,NSS-UK,C0009,,,2026-06-12,2026-07-12,GBP,11008.8,billing_api,4020,open,2026-06
INV-0010,AR,NHH-UK-AR-202606-C0010,NHH-UK,C0010,,,2026-06-22,2026-07-22,GBP,29865.52,billing_api,4010,open,2026-06
INV-0011,AR,NSS-UK-AR-202606-C0011,NSS-UK,C0011,,,2026-06-08,2026-07-08,GBP,9026.31,billing_api,4030,open,2026-06
INV-0012,AR,NSS-UK-AR-202606-C0012,NSS-UK,C0012,,,2026-06-30,2026-07-30,GBP,29519.99,billing_api,4010,open,2026-06
