payment_id,entity_code,invoice_id,payment_date,currency,amount,payment_type,source,status
PAY-0001,NHH-UK,INV-0002,2026-06-26,GBP,6158.8,received,bank_csv,matched
PAY-0002,NHH-UK,INV-0003,2026-07-31,GBP,3868.37,received,bank_csv,matched
PAY-0003,NHH-UK,INV-0006,2026-07-17,GBP,4990.87,received,bank_csv,matched
PAY-0004,NHH-UK,INV-0007,2026-07-01,GBP,38778.66,received,bank_csv,matched
PAY-0005,NSS-UK,INV-0009,2026-07-03,GBP,11008.8,received,bank_csv,matched
PAY-0006,NHH-UK,INV-0010,2026-07-25,GBP,29865.52,received,bank_csv,matched
PAY-0007,NSS-UK,INV-0011,2026-06-21,GBP,9026.31,received,bank_csv,matched
PAY-0008,NSS-UK,INV-0012,2026-07-18,GBP,29519.99,received,bank_csv,matched
PAY-0009,NSS-UK,INV-0013,2026-07-31,GBP,35037.48,received,bank_csv,matched
PAY-0010,NSS-UK,INV-0015,2026-07-12,GBP,41264.85,received,bank_csv,matched
PAY-0011,NSS-UK,INV-0016,2026-07-12,GBP,3288.83,made,bank_csv,matched
PAY-0012,NSS-UK,INV-0017,2026-07-06,GBP,3263.49,made,bank_csv,matched
PAY-0013,NHS-US,INV-0018,2026-07-25,USD,4882.9,made,bank_csv,matched
PAY-0014,NHH-UK,INV-0020,2026-07-01,GBP,2045.79,made,bank_csv,matched
PAY-0015,NSS-UK,INV-0022,2026-06-29,GBP,3129.26,made,bank_csv,matched
PAY-0016,NHH-UK,INV-0023,2026-07-18,GBP,1507.44,made,bank_csv,matched
PAY-0017,NSS-UK,INV-0024,2026-07-12,GBP,9257.89,made,bank_csv,matched
PAY-0018,NHH-UK,INV-0025,2026-07-02,GBP,2024.17,made,bank_csv,matched
PAY-0019,NSS-UK,INV-0026,2026-07-17,GBP,3271.16,made,bank_csv,matched
PAY-0020,NHH-UK,INV-0027,2026-07-04,GBP,10465.65,made,bank_csv,matched
PAY-0021,NHS-US,INV-0028,2026-07-30,USD,6165.81,made,bank_csv,matched
PAY-0022,NHH-UK,INV-0031,2026-07-23,GBP,10562.85,made,bank_csv,matched
PAY-0023,NHH-UK,INV-0032,2026-06-24,GBP,10554.41,made,bank_csv,matched
PAY-0024,NHH-UK,INV-0034,2026-07-27,GBP,42714.49,received,bank_csv,matched
PAY-0025,NSS-UK,INV-0035,2026-08-20,GBP,28083.54,received,bank_csv,matched
PAY-0026,NHH-UK,INV-0036,2026-08-07,GBP,10649.5,received,bank_csv,matched
PAY-0027,NHH-UK,INV-0037,2026-08-10,GBP,29944.76,received,bank_csv,matched
PAY-0028,NSS-UK,INV-0038,2026-07-29,GBP,11661.99,received,bank_csv,matched
PAY-0029,NHH-UK,INV-0039,2026-08-20,GBP,11894.93,received,bank_csv,matched
PAY-0030,NSS-UK,INV-0042,2026-08-04,GBP,30766.04,received,bank_csv,matched
PAY-0031,NHH-UK,INV-0043,2026-08-14,GBP,42227.11,received,bank_csv,matched
PAY-0032,NSS-UK,INV-0044,2026-08-09,GBP,36722.37,received,bank_csv,matched
PAY-0033,NHH-UK,INV-0045,2026-08-22,GBP,5021.56,made,bank_csv,matched
PAY-0034,NHH-UK,INV-0047,2026-07-16,GBP,8779.33,made,bank_csv,matched
PAY-0035,NHH-UK,INV-0048,2026-07-18,GBP,6504.99,made,bank_csv,matched
PAY-0036,NHS-US,INV-0049,2026-07-12,USD,5632.14,made,bank_csv,matched
PAY-0037,NHS-US,INV-0050,2026-08-15,USD,10293.21,made,bank_csv,matched
PAY-0038,NHH-UK,INV-0051,2026-08-19,GBP,10056.93,made,bank_csv,matched
PAY-0039,NHH-UK,INV-0052,2026-07-24,GBP,5904.85,made,bank_csv,matched
