vendor_name,default_account_code,vendor_id,vendor_code,status
Medical Supplies Ltd,5000,VEND-001,V0001,active
Apex Facilities Management,5010,VEND-002,V0002,active
Bluewater IT Services,5020,VEND-003,V0003,active
Sterling Diagnostics Equipment,1040,VEND-004,V0004,active
Crestline Office Solutions,5090,VEND-005,V0005,active
Harborview Cleaning Services,5010,VEND-006,V0006,active
Prime Medical Devices Inc,5000,VEND-007,V0007,active
National Payroll Services,5040,VEND-008,V0008,active
Grantham Legal Partners,5040,VEND-009,V0009,active
Oakridge Laboratory Supplies,5000,VEND-010,V0010,active
Vantage Software Solutions,5020,VEND-011,V0011,active
Union Linen & Uniform Services,5010,VEND-012,V0012,active
